|   type | thread_id |                       thread_id |
|      0 |      7128 |                               2 |
|      6 |      7128 |                               1 |
|      0 |      7175 |                               3 |
|      2 |      7189 |                               1 |
|      0 |      7196 |                               3 |
|      3 |      7196 |                               1 |
|      2 |      7295 |                               1 |
|      0 |      7326 |                              10 |
|      3 |      7326 |                              17 |
|      0 |      7383 |                               3 |
|      3 |      7383 |                               1 |
|      0 |      7432 |                               2 |
|      2 |      7432 |                               1 |
|      3 |      7432 |                               1 |
|      4 |      7432 |                               1 |
|      0 |      7451 |                               1 |
|      2 |      7451 |                               1 |
|      0 |      7454 |                               1 |
|      3 |      7454 |                               1 |
|      4 |      7454 |                               1 |
|      0 |      7478 |                               1 |
|      8 |      7478 |                               1 |
|      4 |      7523 |                               1 |
|      0 |      7583 |                               1 |
|      8 |      7583 |                               1 |
|      0 |      7595 |                               1 |
|      0 |      7661 |                               4 |
|      0 |      7696 |                               2 |
|      2 |      7696 |                               1 |
|      3 |      7696 |                               2 |
|      0 |      7712 |                               2 |
|      3 |      7712 |                              13 |
|      0 |      7754 |                               1 |
|      3 |      7754 |                               1 |
|      0 |      7827 |                               1 |
|      3 |      7827 |                               1 |
|      0 |      7860 |                               3 |
|      3 |      7860 |                               2 |
|      4 |      7860 |                               1 |
|      0 |      7962 |                               1 |
|      3 |      7962 |                               3 |
|      0 |      8037 |                               3 |
|      2 |      8037 |                               1 |
|      3 |      8037 |                               1 |
|      0 |      8066 |                               1 |
|      3 |      8066 |                               3 |
|      0 |      8133 |                               1 |
|      0 |      8187 |                               6 |
|      3 |      8187 |                               2 |
|      8 |      8187 |                               1 |
|      0 |      8355 |                               4 |
|      0 |      8467 |                               3 |
|      2 |      8467 |                               1 |
|      0 |      8556 |                               2 |
|      0 |      8603 |                               2 |
|      3 |      8603 |                               1 |
|      0 |      8629 |                               2 |
|      1 |      8629 |                               1 |
|      0 |      8758 |                               1 |
|      3 |      8758 |                               1 |
|      4 |      8758 |                               1 |
|      5 |      8758 |                               1 |
|      0 |      8838 |                               3 |
|      0 |      8881 |                              31 |
|      1 |      8906 |                               1 |
|      3 |      8906 |                               2 |
|      0 |      8964 |                               4 |
|      0 |      9064 |                               2 |
|      2 |      9064 |                               1 |
|      6 |      9064 |                               1 |
|      0 |      9149 |                               2 |
|      3 |      9149 |                               1 |
|      0 |      9209 |                               9 |
|      3 |      9209 |                               1 |
|      4 |      9209 |                               1 |
|      0 |      9227 |                               1 |
|      2 |      9227 |                               1 |
|      0 |      9257 |                               1 |
|      4 |      9257 |                               1 |
|      0 |      9367 |                               3 |
|      3 |      9367 |                               3 |
|      2 |      9401 |                               1 |
|      3 |      9401 |                               1 |
|      0 |      9431 |                               6 |
|      3 |      9431 |                               4 |
|      0 |      9434 |                               3 |
|      1 |      9434 |                               1 |
|      3 |      9434 |                               1 |
|      0 |      9465 |                               2 |
|      4 |      9465 |                               1 |
|      6 |      9537 |                               1 |
|      0 |      9682 |                               5 |
|      0 |      9695 |                               2 |
|      8 |      9695 |                               1 |
|      0 |      9797 |                               2 |
